Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,100907,13,-1,48.0255,35.6933,15.6455,28.0651,0.669088,0.413109,-13,1,17.5547,-14.5488,8.82806,-4.30739,-0.250485,2.5962,13,-1,23.7675,-11.8509,-7.44303,19.2104,1.12202,-2.5808,-13,1,13.2868,-6.01936,-8.49726,8.25173,0.726742,-2.18713
1,123629,13,-1,94.7201,-45.8082,-56.4179,60.7496,0.760481,-2.25278,-13,1,73.0842,-5.56053,-47.8766,54.9381,0.976878,-1.68642,-13,1,24.5018,-14.6699,-14.1741,13.5727,0.624063,-2.37338,13,-1,15.957,-2.34276,12.1051,10.1289,0.749375,1.76197
1,127704,13,-1,111.646,-71.5999,-52.1064,67.9933,0.707348,-2.51249,-13,1,86.9757,47.8883,63.3713,-35.4337,-0.432487,0.923672,13,-1,59.5589,41.6859,-30.97,-29.1616,-0.535569,-0.638965,-13,1,36.0261,-24.8708,22.0107,-13.9587,-0.408811,2.41713
1,48431,13,-1,474.763,37.8036,117.107,458.538,2.02607,1.25854,-13,1,201.574,-48.5629,-46.6256,190,1.76068,-2.37654,13,-1,49.104,24.5029,-31.347,28.7778,0.671644,-0.907335,-13,1,108.136,31.8346,-8.39039,103.003,1.85838,-0.257702
1,85235,-13,1,62.893,40.4632,-41.0571,25.151,0.423531,-0.792683,-13,1,64.7679,30.6513,47.0413,-32.2876,-0.547325,0.993309,13,-1,41.3649,-40.7839,-4.94912,4.81923,0.117037,-3.02083,13,-1,43.2574,-31.3363,5.92274,29.2258,0.821026,2.95479
1,87679,-13,1,99.1264,-18.3482,-43.7284,87.0471,1.3676,-1.96808,-13,1,83.4143,-13.5966,37.8131,73.0974,1.35968,1.91597,13,-1,24.6629,19.4026,0.0969154,-15.2243,-0.72063,0.00499493,13,-1,51.4373,13.0206,-1.58187,49.7368,2.04298,-0.120897
1,39844,-13,1,49.0127,-29.1629,30.3034,-25.1686,-0.567489,2.33702,13,-1,43.2423,21.5948,-32.6323,18.4033,0.454495,-0.986197,-13,1,28.3831,12.6243,0.0741496,-25.4207,-1.4497,0.00587347,13,-1,6.63111,1.34809,2.56786,-5.96232,-1.46832,1.08736
1,3274,13,-1,89.0676,-31.0497,70.3549,-44.9347,-0.555327,1.98642,-13,1,60.155,48.9683,-16.7644,-30.6542,-0.562173,-0.329846,13,-1,50.4175,-31.8791,-38.7328,5.03959,0.100292,-2.25944,-13,1,41.9164,18.274,-15.8267,-34.2426,-1.14751,-0.713755
1,136719,-13,1,51.3876,-32.4099,37.7068,-12.9795,-0.258167,2.28079,13,-1,63.3521,27.5142,-24.6606,-51.4616,-1.13379,-0.730759,-13,1,6.90757,-4.30685,-4.92812,2.20636,0.331034,-2.28902,13,-1,6.55967,-0.149313,-5.10066,-4.12056,-0.738515,-1.60006
1,129867,13,-1,102.211,38.334,20.3462,92.54,1.50129,0.487953,-13,1,20.0467,-6.03075,18.0605,-6.26937,-0.323583,1.89307,-13,1,8.5567,1.84279,8.33521,-0.578287,-0.0676913,1.35321,13,-1,9.03804,-1.17817,7.57662,4.78349,0.58917,1.72506
1,66303,13,-1,29.9035,25.6923,15.2868,0.652303,0.0218172,0.536731,-13,1,38.2357,-15.8895,-12.6182,-32.4078,-1.2475,-2.47045,-13,1,49.3758,7.15271,-5.11704,-48.5862,-2.41044,-0.620987,13,-1,14.9702,-7.20567,-1.60438,-13.023,-1.33289,-2.92251
1,50387,13,-1,88.8268,-23.6762,39.0072,-76.2107,-1.2856,2.11633,-13,1,34.6441,23.5408,-24.0295,-8.2837,-0.243829,-0.795671,13,-1,24.2903,-1.57604,-24.232,-0.577936,-0.0237976,-1.63574,-13,1,10.226,-4.74659,-8.89907,-1.68403,-0.166204,-2.06079
