Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,237045,13,-1,49.9614,31.8268,-12.0075,36.5925,0.933919,-0.360763,-13,1,38.922,-10.6386,11.008,-35.7849,-1.58515,2.33913,-11,1,21.4213,7.206,-16.4497,-11.6771,-0.611404,-1.15791,11,-1,18.0164,-5.06281,15.6791,-7.28862,-0.429083,1.88313
1,265787,13,-1,41.8056,9.63427,15.7159,-37.5218,-1.45939,1.02085,-13,1,45.949,-8.15575,3.49773,-45.0838,-2.32808,2.73645,11,-1,143.778,52.9807,-4.79261,-133.574,-1.65128,-0.090214,-11,1,111.371,-38.6742,-23.8385,-101.684,-1.54535,-2.58921
1,258174,-13,1,42.5925,-28.1207,-12.0738,29.6236,0.85856,-2.73604,13,-1,42.7377,12.9276,18.2115,36.4379,1.26558,0.953482,11,-1,103.442,0.949751,-33.3704,97.9072,1.79697,-1.54234,-11,1,96.6241,-9.20337,29.0839,91.6823,1.82017,1.87727
1,85662,-11,1,66.4499,39.0064,-6.92474,53.3493,1.10658,-0.175698,11,-1,34.655,-31.9023,4.22268,12.86,0.389681,3.00999,11,-1,71.0517,-25.5983,8.25542,65.7641,1.62664,2.82962,-11,1,33.8625,10.0029,11.0043,30.4223,1.4639,0.833033
1,180957,13,-1,108.388,37.7341,40.5518,93.1644,1.29161,0.821375,-13,1,34.8418,-27.6811,-17.1621,12.3756,0.371377,-2.5866,11,-1,22.1875,-14.1126,-8.50845,14.8568,0.810022,-2.59905,-11,1,35.7191,-6.5265,12.4769,32.8266,1.58269,2.05274
1,66520,-13,1,42.5723,-5.42382,-33.9444,25.1148,0.677565,-1.72924,13,-1,128.388,20.6461,10.6785,126.266,2.39385,0.477327,-13,1,26.5865,7.23568,16.3081,19.711,0.953573,1.1532,13,-1,15.1699,8.43434,-12.4417,-2.04449,-0.135601,-0.975053
1,145058,13,-1,36.6821,-24.6304,-22.8953,-14.653,-0.423007,-2.39269,-13,1,38.9281,15.3886,22.48,-27.807,-0.895945,0.970517,-13,1,13.3363,-5.57112,-0.484441,-12.1068,-1.51507,-3.05486,11,-1,22.5203,20.3635,-3.42401,-8.98709,-0.422537,-0.166586
1,101950,-13,1,54.4909,21.7226,37.0589,-33.5264,-0.717353,1.04061,13,-1,47.2823,-23.1427,9.1676,40.1992,1.25686,2.76442,13,-1,32.4389,-10.9243,5.24739,30.0898,1.64083,2.6938,-13,1,7.1532,4.0124,4.51883,-3.82595,-0.597008,0.844691
1,180968,-13,1,40.6708,-10.5129,7.6326,38.5399,1.80782,2.51362,13,-1,28.9829,-0.104392,-12.4959,26.1503,1.48431,-1.57915,11,-1,56.4053,48.9391,-11.9526,25.3704,0.484435,-0.239544,-11,1,66.4049,-31.785,11.3683,57.1847,1.29778,2.79811
1,180974,-11,1,156.443,-22.2322,-42.0355,-149.041,-1.86006,-2.05729,11,-1,204.129,41.6002,10.1896,-199.586,-2.24347,0.240211,11,-1,130.888,-18.3555,7.86106,-129.356,-2.56749,2.73696,-11,1,35.4688,-2.85762,6.34841,-34.7788,-2.31157,1.99376
1,49852,13,-1,89.4689,70.2824,12.543,53.9234,0.697386,0.176607,-13,1,74.1324,14.4654,-30.3018,66.092,1.42939,-1.12541,-11,1,17.5788,16.7137,4.7821,-2.60779,-0.149451,0.278674,11,-1,17.5728,0.36875,-16.1417,-6.93621,-0.417371,-1.54796
1,222236,13,-1,34.9685,-16.0146,27.8705,-13.7677,-0.416194,2.09234,13,-1,32.6976,16.0273,-27.0446,8.991,0.282238,-1.03582,-13,1,32.4259,-25.2943,-7.61215,-18.8063,-0.662437,-2.84927,-13,1,35.0565,15.3613,-10.0686,-29.8596,-1.26254,-0.580202
1,249385,-13,1,155.247,51.4401,62.6876,-132.385,-1.2661,0.883632,13,-1,37.3438,-10.1229,-21.6501,-28.6941,-1.01636,-2.00816,-13,1,38.071,-12.3705,12.2192,-33.8682,-1.42005,2.36235,13,-1,17.4174,-9.72677,-5.3483,-13.4216,-1.02181,-2.63886
1,43898,-13,1,121.356,45.2919,2.80554,112.553,1.63989,0.0618646,13,-1,19.7517,5.43144,-18.8572,-2.24135,-0.113969,-1.29036,13,-1,20.6892,-9.15404,11.8649,14.2639,0.846897,2.22793,-13,1,11.2022,-3.33995,6.02917,-8.83018,-1.0669,2.07668
1,154864,13,-1,119.713,-19.9297,48.9714,-107.405,-1.45761,1.95729,13,-1,60.6827,26.5186,-15.7197,-52.2688,-1.29855,-0.535094,-13,1,42.5567,24.6075,-8.48336,-33.6684,-1.07449,-0.331987,-13,1,41.368,-0.546608,-19.5126,-36.4727,-1.38321,-1.5988
1,203687,-13,1,46.3322,17.2443,39.362,-17.3184,-0.39282,1.15789,13,-1,44.9362,-27.0318,-20.4656,29.4905,0.786247,-2.49357,-13,1,22.1141,1.48285,-22.0307,-1.21233,-0.0548774,-1.50359,13,-1,11.3176,8.12496,0.732516,-7.84388,-0.85389,0.0899132
1,199899,13,-1,56.262,55.7926,5.43456,-4.80076,-0.0855368,0.0971001,-13,1,39.6516,-35.3065,11.4018,13.9888,0.36863,2.82923,-11,1,23.5512,-22.609,0.400692,6.58281,0.287151,3.12387,11,-1,12.6566,6.97093,9.60922,4.38835,0.361717,0.943199
1,152003,-11,1,53.1496,-51.1818,10.0623,10.2006,0.194332,2.94747,11,-1,33.4078,24.7518,15.7925,15.9381,0.519195,0.567917,-11,1,36.9855,11.2681,-13.9149,32.3625,1.35405,-0.890118,11,-1,16.0317,11.2348,-10.3656,-4.83183,-0.311051,-0.745182
1,21410,-13,1,89.3887,5.39707,-85.2035,26.487,0.305473,-1.50754,13,-1,18.2568,1.33597,-5.91315,17.2207,1.76682,-1.34859,-11,1,122.135,50.513,-97.5601,53.362,0.468404,-1.09304,11,-1,11.7495,-2.88422,10.4829,-4.45432,-0.399018,1.83929
1,120292,-13,1,105.872,-18.9,71.645,-75.6224,-0.895865,1.82872,13,-1,96.3259,-37.8142,-13.9503,-87.488,-1.51744,-2.78817,11,-1,29.7156,-10.6808,25.3597,-11.2172,-0.397122,1.96942,-11,1,16.3614,3.26362,-2.90905,-15.7664,-1.99452,-0.728018
