Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
194533,554685,-13,1,38.0061,15.7395,-18.7548,29.0686,1.00778,-0.872591,13,-1,23.7894,-20.129,-12.3597,2.82585,0.119351,-2.59092,13,-1,23.4475,5.57521,16.7805,-15.3982,-0.787022,1.25003,-13,1,9.061,2.79411,7.79269,3.68206,0.431281,1.22652
200519,582837,-13,1,30.1602,-24.7586,-16.8088,-3.75472,-0.125143,-2.54516,13,-1,46.6222,23.3757,-5.65853,39.9396,1.28069,-0.2375,-13,1,12.8341,-4.98346,9.2691,-7.34517,-0.650991,2.0641,13,-1,4.99995,4.13836,2.25276,1.66954,0.347309,0.498504
206859,446822,-13,1,62.9877,-37.8752,3.82979,-50.1821,-1.08951,3.04082,13,-1,59.5105,20.5421,-12.2237,-54.4986,-1.56224,-0.536776,-13,1,41.6888,12.7885,10.406,-38.2899,-1.57917,0.683038,13,-1,33.3744,4.49898,8.30514,-32.0097,-1.93475,1.07434
194533,35924,-13,1,134.947,62.5916,89.6181,-79.1295,-0.672126,0.961127,-13,1,142.36,-58.0589,-76.5546,-105.047,-0.945846,-2.21965,13,-1,19.2853,-1.2695,-19.0772,-2.52155,-0.131505,-1.63724,13,-1,14.5558,5.66132,2.19416,13.2286,1.52083,0.369746
206859,179751,13,-1,149.098,45.7494,-16.0753,140.992,1.7888,-0.337901,-13,1,46.5162,-22.9482,6.50313,-39.9353,-1.28772,2.86545,-13,1,23.974,-11.3522,12.9288,16.6948,0.860229,2.29135,13,-1,13.5664,-10.244,-0.625719,8.87149,0.782174,-3.08059
200519,1421584,-13,1,177.709,-167.886,-17.7213,-55.5017,-0.323112,-3.03643,-13,1,91.7665,76.5537,-49.8246,8.83914,0.0966217,-0.576969,13,-1,55.574,-21.1479,31.6237,-40.5113,-0.92651,2.16023,13,-1,27.563,-25.5735,-3.88584,9.51849,0.360142,-2.9908
200519,1234835,13,-1,175.579,-44.2501,-0.135406,-169.911,-2.0551,-3.13853,-13,1,53.1714,25.0899,28.143,-37.4921,-0.877409,0.84269,-13,1,53.3389,7.08624,-11.6771,-51.5602,-2.03859,-1.02536,13,-1,46.8721,9.09654,-6.76163,-45.481,-2.09778,-0.639212
200519,1153787,-13,1,45.026,-44.147,0.633326,-8.82997,-0.198682,3.12725,13,-1,35.2383,31.6898,-14.2874,-5.77529,-0.165385,-0.423561,-13,1,7.52569,-5.94141,4.52857,-0.903581,-0.12066,2.49033,13,-1,7.97193,-5.14381,3.15829,-5.20643,-0.780778,2.59094
206859,896413,-13,1,74.1926,-43.208,-60.1895,-3.8494,-0.0519305,-2.19341,-13,1,107.842,46.1191,34.0443,-91.3449,-1.24553,0.635894,13,-1,49.4911,-37.0953,25.4832,-20.589,-0.442863,2.53967,13,-1,38.0842,36.3682,-6.59225,-9.1809,-0.245909,-0.179317
206859,896419,13,-1,101.028,-58.2115,-44.3668,-69.6398,-0.846641,-2.49035,13,-1,54.5473,52.5475,-3.01238,-14.3206,-0.26883,-0.0572641,-13,1,36.0155,-33.3898,1.36467,13.43,0.391782,3.10074,-13,1,24.7151,19.7313,14.4966,3.3688,0.13716,0.633635
194533,915358,-13,1,194.305,8.64285,-59.1456,184.883,1.84746,-1.42569,-13,1,66.1214,-26.6564,46.9864,38.128,0.65741,2.08684,13,-1,163.189,1.30584,33.9832,159.606,2.25041,1.53239,13,-1,32.554,10.3556,-28.3753,-12.1391,-0.391777,-1.22086
206859,1240002,-13,1,70.796,57.8924,-32.1166,25.0809,0.370319,-0.506494,13,-1,52.1669,-49.9635,-4.20082,-14.4007,-0.283403,-3.05771,13,-1,30.2975,-25.9986,15.3918,-2.2557,-0.0745904,2.60706,-13,1,45.4133,17.1599,21.5305,36.1156,1.0856,0.897884
200519,437132,-13,1,32.519,-14.1796,-11.9133,26.7298,1.16289,-2.44283,13,-1,17.8634,7.90446,5.45029,-15.0633,-1.23237,0.603658,13,-1,28.0918,-2.45111,7.91946,-26.8405,-1.89104,1.87095,-13,1,16.261,1.97985,3.62918,-15.7263,-2.04606,1.07139
200519,1234675,13,-1,79.2938,43.834,-30.6291,-58.5486,-0.946899,-0.609887,-13,1,94.0925,1.79095,24.115,-90.9321,-2.0349,1.49667,-13,1,29.045,6.51899,-10.1059,-26.4382,-1.529,-0.997895,13,-1,11.6463,7.06198,-7.23327,-5.7822,-0.544655,-0.79738
206859,705216,-13,1,139.92,70.8893,53.1645,108.286,1.03001,0.643479,13,-1,318.051,-64.1675,49.4981,307.553,2.04377,2.48454,13,-1,73.7174,47.6083,-9.79057,55.4242,0.977192,-0.202821,-13,1,59.7045,16.1911,34.2999,46.1083,1.02595,1.12976
194533,23399,-13,1,153.948,2.52195,27.2365,151.498,2.41294,1.47847,-13,1,53.0033,-11.774,-10.9416,50.5073,1.86252,-2.39282,13,-1,13.9631,13.952,-0.1562,-0.524781,-0.0376021,-0.0111951,13,-1,15.7526,-0.933036,-5.42036,14.7608,1.71339,-1.74126
206859,237999,13,-1,213.114,82.4375,-51.756,-189.586,-1.42001,-0.560625,-13,1,75.3261,-17.1825,68.8721,25.2072,0.348046,1.81529,13,-1,67.2729,-40.1096,-14.714,51.9649,1.02637,-2.78999,-13,1,37.8565,-26.1198,1.14483,-27.3778,-0.914328,3.09779
