Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
206859,1483809,-13,1,74.3174,59.3955,-43.7775,-8.87571,-0.120003,-0.635162,13,-1,31.9876,-29.1382,1.29809,13.1331,0.436297,3.09707,-11,1,282.675,44.656,-186.377,207.786,0.939667,-1.33563,11,-1,16.0835,-8.98151,6.20707,-11.8103,-0.938024,2.53687
194533,609329,13,-1,20.9076,-9.69501,0.0772247,-18.5234,-1.4029,3.13363,-13,1,27.7274,-5.60823,-2.60283,-27.0291,-2.18112,-2.70707,-11,1,32.5539,18.7492,-18.4843,-19.1457,-0.67479,-0.778284,11,-1,108.017,-1.13664,22.8064,-105.575,-2.23579,1.62059
194533,858326,-13,1,89.5524,30.222,-53.1704,-65.4152,-0.929734,-1.05394,13,-1,239.235,-10.0938,46.6427,234.427,2.29509,1.78392,11,-1,21.1802,-13.3522,11.9803,11.2602,0.592425,2.4103,11,-1,6.33439,-1.31662,-2.06928,5.8403,1.6022,-2.13746
206859,1424427,13,-1,67.4742,2.52518,37.4866,56.0458,1.19016,1.50354,-13,1,37.4999,9.14502,-35.4284,-8.21137,-0.222575,-1.31818,11,-1,111.205,-49.9951,-12.0098,98.6043,1.40622,-2.90584,-11,1,50.0895,33.6513,9.06235,35.9781,0.904076,0.263061
200519,556236,-13,1,57.2499,-55.294,10.2818,-10.6957,-0.189045,2.95774,13,-1,40.6849,33.2728,-12.6324,-19.7128,-0.52888,-0.362851,-11,1,21.6468,5.34957,18.148,-10.5174,-0.530634,1.28414,11,-1,5.78026,5.00574,2.42793,1.56815,0.27826,0.451599
206859,338796,-13,1,14.5501,2.43625,-5.94033,-13.0564,-1.45854,-1.1816,13,-1,5.5168,-3.80408,2.58219,-3.04716,-0.621892,2.54524,-11,1,81.1524,-21.6693,-29.0545,-72.6084,-1.44509,-2.21161,11,-1,35.4659,-5.72035,33.8843,-8.77272,-0.252595,1.73804
200519,873082,13,-1,349.826,-22.7948,61.9763,-343.537,-2.35136,1.92324,-13,1,190.991,-46.8425,-27.4169,-183.116,-1.93045,-2.61205,11,-1,156.836,71.994,-64.906,-123.294,-1.06124,-0.73367,-11,1,39.4455,0.0846108,25.2985,-30.2643,-1.01359,1.56745
200519,965669,13,-1,14.5615,-2.68266,-9.68889,-10.5335,-0.914741,-1.84091,-13,1,5.05858,-4.5147,-1.73444,-1.47894,-0.301217,-2.7748,11,-1,60.6155,24.8435,22.2188,-50.6297,-1.20528,0.729684,-11,1,22.3927,-19.9212,-9.14166,4.58384,0.207635,-2.71137
206859,504693,13,-1,50.7775,34.5443,33.8439,15.4799,0.314868,0.775157,-13,1,67.3993,-42.7027,-3.11367,52.0523,1.026,-3.06881,-11,1,79.7084,18.608,-62.2992,46.1083,0.660149,-1.28054,11,-1,52.5788,-3.69681,23.9917,46.6396,1.40788,1.72368
194533,1075050,-13,1,112.263,-66.6204,35.0762,-83.2723,-0.954388,2.65696,13,-1,7.07738,5.86265,-2.4697,3.09969,0.469779,-0.398698,11,-1,23.0263,-17.1565,-15.3552,-0.2866,-0.0124473,-2.41154,-11,1,3.83074,-1.38814,-2.1861,-2.82287,-0.94366,-2.13654
206859,146688,13,-1,203.816,-42.2415,138.057,143.864,0.878868,1.86772,-13,1,9.56376,1.81823,-8.17022,-4.62556,-0.527783,-1.35182,11,-1,164.516,81.276,-107.593,94.2528,0.651843,-0.923844,-11,1,88.9407,54.0953,5.64292,70.3726,1.07471,0.103939
200519,1154196,13,-1,40.0016,-37.4019,4.96675,-13.2868,-0.345253,3.00957,-13,1,31.3991,21.128,14.1774,-18.3984,-0.671486,0.591015,-11,1,24.0182,23.4361,2.56175,4.58942,0.193459,0.108876,11,-1,12.3088,10.7552,5.93907,0.748147,0.0608566,0.504535
194533,590508,-13,1,120.793,23.0558,27.7281,-115.285,-1.87894,0.877144,13,-1,43.7189,-17.0026,-21.7606,-33.8928,-1.03334,-2.23406,11,-1,13.7328,-3.35282,-6.13495,-11.82,-1.29607,-2.07096,-11,1,4.45823,-2.95019,-2.37942,-2.34746,-0.585352,-2.46288
194533,497950,-13,1,21.715,16.5702,-14.0086,-0.84673,-0.0390131,-0.701826,13,-1,7.10206,-0.978652,-2.94455,-6.38749,-1.46951,-1.89167,11,-1,36.9672,-23.7508,-15.3638,-23.7997,-0.764647,-2.56742,-11,1,24.4769,18.0576,11.0633,12.2738,0.551234,0.549681
200519,1444492,-13,1,48.1129,43.4262,19.796,6.09268,0.127317,0.42771,13,-1,27.6378,-19.3823,0.286504,-19.6998,-0.892832,3.12681,-11,1,11.5891,-3.36516,-7.99594,-7.68428,-0.798255,-1.96915,11,-1,5.2721,-1.42726,-5.06701,-0.288774,-0.0548288,-1.84536
194533,181883,-13,1,30.1602,1.81657,-27.6521,11.9033,0.41732,-1.5052,13,-1,15.3126,-3.14296,0.875403,-14.9606,-2.22773,2.86995,11,-1,41.5821,0.174347,14.7408,-38.8813,-1.69712,1.55897,-11,1,26.5029,-1.48311,13.3871,-22.8252,-1.2981,1.68113
200519,1402773,13,-1,82.2866,-49.6793,9.6161,-64.8889,-1.06765,2.95039,-13,1,39.8379,-22.4193,-17.2724,28.0372,0.87476,-2.48515,11,-1,199.475,68.3053,-25.4445,-185.68,-1.66469,-0.356586,-11,1,30.7433,1.86334,26.5285,-15.4245,-0.551602,1.50067
194533,142222,-13,1,97.8015,87.9794,-6.8139,42.1701,0.461346,-0.0772946,13,-1,66.2166,20.2827,37.8779,50.3835,0.998328,1.07917,-11,1,17.5875,11.1835,9.62712,9.5691,0.609941,0.710749,11,-1,5.04157,-0.0364058,3.88722,3.21023,0.752694,1.58016
200519,913490,13,-1,217.264,124.344,-124.903,127.049,0.669676,-0.787642,-13,1,23.9574,-9.47249,0.658176,21.9951,1.57681,3.07222,11,-1,192.828,-66.5302,59.214,-171.026,-1.40739,2.41431,-11,1,14.3894,-6.60319,-1.6848,12.6733,1.37907,-2.89177
200519,1490701,13,-1,14.743,-4.78446,0.683149,-13.9279,-1.7804,2.99977,-13,1,6.36311,-2.18318,3.53855,-4.81564,-0.988941,2.1236,-11,1,17.8551,-1.54519,-6.18372,16.6787,1.68973,-1.81566,11,-1,3.80096,-1.00484,3.0564,2.02386,0.593573,1.88843
194533,1473743,13,-1,39.7037,6.07101,9.75706,-38.0042,-1.91134,1.0142,-13,1,13.6987,-0.499619,3.35756,-13.2711,-2.07254,1.71852,11,-1,141.125,-97.7171,15.5638,-100.626,-0.893306,2.98365,-11,1,62.3375,43.5577,-8.18373,-43.8374,-0.873655,-0.185717
194533,372621,13,-1,53.425,49.5204,-17.4815,9.81573,0.18584,-0.33936,-13,1,51.6912,-35.5885,-17.4581,-33.1759,-0.761247,-2.68553,11,-1,38.7082,-11.8735,31.812,-18.5832,-0.523095,1.92802,-11,1,37.5224,-17.1394,-2.82716,-33.2593,-1.4048,-2.97811
200519,87481,-13,1,30.6791,18.1049,-22.9979,9.19243,0.309117,-0.903883,13,-1,18.0601,7.74794,16.0973,2.64627,0.14759,1.12221,-11,1,42.9705,-29.4678,13.6105,28.158,0.784506,2.70891,11,-1,10.4557,7.47919,4.57791,5.69436,0.610699,0.549259
206859,157443,13,-1,73.7378,49.9634,26.7797,-47.1567,-0.757361,0.49202,-13,1,29.7393,-24.6899,8.85217,14.0166,0.511763,2.79733,-11,1,105.683,-32.2824,-8.6275,-100.261,-1.81859,-2.88045,11,-1,29.119,13.0235,-24.6804,8.31774,0.293819,-1.08525
206859,783075,13,-1,11.3101,-2.43074,-6.52425,8.91246,1.06625,-1.92744,-13,1,6.79329,-0.0862351,4.29905,5.25818,1.03052,1.59085,11,-1,98.314,84.0432,38.6937,33.2442,0.351995,0.431471,-11,1,32.9456,-25.4157,17.3516,11.7632,0.373501,2.54256
206859,1036378,13,-1,82.7074,-20.1475,-1.89798,80.1933,2.08564,-3.04767,-13,1,73.4719,-15.3942,5.11668,71.6586,2.19125,2.8207,-11,1,141.251,35.9966,2.02265,136.573,2.04199,0.0561309,11,-1,14.0342,-5.64413,8.23554,9.863,0.872778,2.17161
206859,372343,-13,1,60.5767,43.2137,-42.4484,0.488206,0.00805948,-0.776465,13,-1,44.0474,-5.4361,30.2591,31.5435,0.899655,1.74855,-11,1,69.9567,-53.5789,24.8493,-37.4933,-0.598457,2.70733,11,-1,32.1614,21.1756,-23.8501,4.13802,0.129381,-0.844729
206859,70161,13,-1,8.16167,-4.15166,-1.34767,6.89558,1.23821,-2.82771,-13,1,14.2437,-3.21985,2.17924,13.7024,1.97237,2.5466,11,-1,27.8288,13.9396,12.7091,-20.4599,-0.939966,0.739255,-11,1,66.1225,-14.819,-4.82583,64.2596,2.12416,-2.82677
206859,1090680,13,-1,24.5093,1.75912,18.1941,16.327,0.803815,1.47441,-13,1,22.3818,0.28412,7.18525,21.195,1.80171,1.53127,-11,1,86.4284,-22.8934,-33.5478,76.291,1.38789,-2.16962,11,-1,38.8717,19.3674,7.28865,32.9057,1.24375,0.359941
200519,1431268,13,-1,68.8113,36.8417,4.43775,-57.9481,-1.22846,0.119877,-13,1,37.5492,11.7323,-0.439532,-35.6663,-1.83035,-0.0374458,11,-1,48.3241,-23.9057,-29.9096,-29.4814,-0.709043,-2.24509,-11,1,21.4674,9.11861,4.14789,-18.9867,-1.39582,0.426907
206859,716282,-13,1,21.7103,1.83656,6.84814,-20.5196,-1.78442,1.30878,13,-1,4.4438,-3.8429,1.81387,-1.29544,-0.300312,2.70059,11,-1,40.9161,4.81724,-38.8632,-11.8563,-0.298316,-1.44747,-11,1,51.5071,4.83004,27.9406,42.9997,1.20387,1.39962
206859,24076,13,-1,143.393,-53.3701,82.5228,-104.418,-0.924874,2.14487,-13,1,50.074,-41.9767,22.58,-15.3459,-0.31664,2.64807,11,-1,64.1116,-27.796,31.6068,-48.36,-0.982881,2.29213,-11,1,14.6961,-4.21185,7.83303,-11.6996,-1.08787,2.06415
194533,17641,13,-1,89.9163,33.3951,-67.6552,-48.9128,-0.609794,-1.11228,-13,1,41.1371,-30.1958,-22.2004,16.9589,0.438324,-2.50762,11,-1,103.818,-39.4325,95.3324,11.6214,0.112411,1.963,-11,1,28.9515,28.5936,4.05945,-2.02967,-0.0702212,0.141028
194533,1210774,13,-1,23.258,-4.20417,9.61391,20.7562,1.4338,1.98304,-13,1,8.67515,5.97467,-2.64692,5.70476,0.788654,-0.417037,11,-1,40.5706,-10.4561,-37.3357,11.9454,0.303415,-1.84386,-11,1,38.6234,1.00284,25.7928,28.7315,0.959126,1.53194
